country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,start,end
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,97,21090,-0.386079818,5425854,1925042,488250671,2022-01-24 00:00:00,2022-01-30 00:00:00
美國,捍衛戰士: 獨行俠,2022-05-23T00:00:00,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,97,280956,-0.117398147,78432855,1793413,487444090,2022-06-20 00:00:00,2022-06-26 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,98,34353,-0.322332472,8704754,1903952,482824817,2022-01-17 00:00:00,2022-01-23 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,99,50693,-0.469216594,12953108,1869599,474120063,2022-01-10 00:00:00,2022-01-16 00:00:00
美國,阿凡達：水之道,2022-12-14T00:00:00,博偉電影股份有限公司,"BUENA VISTA INTERNATIONAL, INC.",100,420662,-0.185606369,140351478,1424010,464882786,2022-12-26 00:00:00,2023-01-01 00:00:00
美國,蜘蛛人：無家日,2021-12-15T00:00:00,美商台灣索尼影業發行股份有限公司台灣分公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,99,95506,-0.721236639,24478094,1818906,461166955,2022-01-03 00:00:00,2022-01-09 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",5,316,1.273381295,73360,1784665,453619297,2023-11-06 00:00:00,2023-11-12 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",4,139,-0.283505155,33570,1784349,453545937,2023-10-30 00:00:00,2023-11-05 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",6,194,0.883495146,44700,1784210,453512367,2023-10-23 00:00:00,2023-10-29 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",4,103,0.009803922,25615,1784016,453467667,2023-10-16 00:00:00,2023-10-22 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",4,102,-0.142857143,25686,1783913,453442052,2023-10-09 00:00:00,2023-10-15 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",4,119,-0.952570745,30300,1783811,453416366,2023-10-02 00:00:00,2023-10-08 00:00:00
中華民國,灌籃高手 THE FIRST SLAM DUNK,2023-01-13T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"Toei Animation Co., Ltd.",21,2509,0.083801296,703629,1783692,453386066,2023-09-25 00:00:00,2023-10-01 00:00:00
